"trade_date","futuresfix","settle","total_volume","open_interest","futurecontract","futurecontractexp","orderexpiration"
"2004-03-26","Jun 04              ","201.6","26","26","2004-06-01","2004-06-16","1"
"2004-03-26","Aug 04              ","201.1","37","37","2004-08-01","2004-08-18","2"
"2004-03-26","Nov 04              ","209.4","182","161","2004-11-01","2004-11-17","3"
"2004-03-29","Jun 04              ","197.7","32","45","2004-06-01","2004-06-16","1"
"2004-03-29","Aug 04              ","196.8","1","38","2004-08-01","2004-08-18","2"
"2004-03-29","Nov 04              ","209.8","32","153","2004-11-01","2004-11-17","3"
"2004-03-30","Jun 04              ","197.9","29","44","2004-06-01","2004-06-16","1"
"2004-03-30","Aug 04              ","199.1","56","90","2004-08-01","2004-08-18","2"
"2004-03-30","Nov 04              ","210.2","13","155","2004-11-01","2004-11-17","3"
"2004-03-31","Jun 04              ","198.5","3","41","2004-06-01","2004-06-16","1"
"2004-03-31","Aug 04              ","201.5","29","113","2004-08-01","2004-08-18","2"
"2004-03-31","Nov 04              ","210.8","6","169","2004-11-01","2004-11-17","3"
"2004-04-01","Jun 04              ","196.1","1","41","2004-06-01","2004-06-16","1"
"2004-04-01","Aug 04              ","202","1","114","2004-08-01","2004-08-18","2"
"2004-04-01","Nov 04              ","211.7","13","181","2004-11-01","2004-11-17","3"
"2004-04-02","Jun 04              ","191.6","50","88","2004-06-01","2004-06-16","1"
"2004-04-02","Aug 04              ","200.5","23","135","2004-08-01","2004-08-18","2"
"2004-04-02","Nov 04              ","210","145","270","2004-11-01","2004-11-17","3"
"2004-04-05","Jun 04              ","186.2","48","134","2004-06-01","2004-06-16","1"
"2004-04-05","Aug 04              ","199.7","0","133","2004-08-01","2004-08-18","2"
"2004-04-05","Nov 04              ","210.4","55","293","2004-11-01","2004-11-17","3"
"2004-04-06","Jun 04              ","187.9","18","181","2004-06-01","2004-06-16","1"
"2004-04-06","Aug 04              ","202.8","18","151","2004-08-01","2004-08-18","2"
"2004-04-06","Nov 04              ","211.6","3","370","2004-11-01","2004-11-17","3"
"2004-04-07","Jun 04              ","191.2","10","188","2004-06-01","2004-06-16","1"
"2004-04-07","Aug 04              ","205.4","3","154","2004-08-01","2004-08-18","2"
"2004-04-07","Nov 04              ","215.7","30","390","2004-11-01","2004-11-17","3"
"2004-04-08","Jun 04              ","190","25","209","2004-06-01","2004-06-16","1"
"2004-04-08","Aug 04              ","205.1","16","150","2004-08-01","2004-08-18","2"
"2004-04-08","Nov 04              ","214.3","0","400","2004-11-01","2004-11-17","3"
"2004-04-12","Jun 04              ","189","2","209","2004-06-01","2004-06-16","1"
"2004-04-12","Aug 04              ","203.4","0","150","2004-08-01","2004-08-18","2"
"2004-04-12","Nov 04              ","213.2","0","400","2004-11-01","2004-11-17","3"
"2004-04-13","Jun 04              ","192.9","57","222","2004-06-01","2004-06-16","1"
"2004-04-13","Aug 04              ","207.4","0","150","2004-08-01","2004-08-18","2"
"2004-04-13","Nov 04              ","216.8","1","396","2004-11-01","2004-11-17","3"
"2004-04-14","Jun 04              ","194.7","10","163","2004-06-01","2004-06-16","1"
"2004-04-14","Aug 04              ","202.7","35","164","2004-08-01","2004-08-18","2"
"2004-04-14","Nov 04              ","215.9","3","316","2004-11-01","2004-11-17","3"
"2004-04-15","Jun 04              ","194.7","29","190","2004-06-01","2004-06-16","1"
"2004-04-15","Aug 04              ","204.3","167","306","2004-08-01","2004-08-18","2"
"2004-04-15","Nov 04              ","216.7","0","316","2004-11-01","2004-11-17","3"
"2004-04-16","Jun 04              ","194.3","319","432","2004-06-01","2004-06-16","1"
"2004-04-16","Aug 04              ","202.6","21","314","2004-08-01","2004-08-18","2"
"2004-04-16","Nov 04              ","216.2","15","331","2004-11-01","2004-11-17","3"
"2004-04-19","Jun 04              ","196.8","111","540","2004-06-01","2004-06-16","1"
"2004-04-19","Aug 04              ","203.7","0","314","2004-08-01","2004-08-18","2"
"2004-04-19","Nov 04              ","216.6","0","331","2004-11-01","2004-11-17","3"
"2004-04-20","Jun 04              ","199.6","6","546","2004-06-01","2004-06-16","1"
"2004-04-20","Aug 04              ","205.2","31","344","2004-08-01","2004-08-18","2"
"2004-04-20","Nov 04              ","218.8","13","344","2004-11-01","2004-11-17","3"
"2004-04-21","Jun 04              ","197","14","558","2004-06-01","2004-06-16","1"
"2004-04-21","Aug 04              ","202.2","0","335","2004-08-01","2004-08-18","2"
"2004-04-21","Nov 04              ","215.8","26","368","2004-11-01","2004-11-17","3"
"2004-04-22","Jun 04              ","187.7","111","625","2004-06-01","2004-06-16","1"
"2004-04-22","Aug 04              ","196.7","26","350","2004-08-01","2004-08-18","2"
"2004-04-22","Nov 04              ","211","4","367","2004-11-01","2004-11-17","3"
"2004-04-23","Jun 04              ","190.9","564","1169","2004-06-01","2004-06-16","1"
"2004-04-23","Aug 04              ","198.1","11","357","2004-08-01","2004-08-18","2"
"2004-04-23","Nov 04              ","212.2","18","385","2004-11-01","2004-11-17","3"
"2004-04-26","Jun 04              ","189.6","35","1187","2004-06-01","2004-06-16","1"
"2004-04-26","Aug 04              ","198.1","204","561","2004-08-01","2004-08-18","2"
"2004-04-26","Nov 04              ","212","109","454","2004-11-01","2004-11-17","3"
"2004-04-27","Jun 04              ","187.7","109","1200","2004-06-01","2004-06-16","1"
"2004-04-27","Aug 04              ","198","109","670","2004-08-01","2004-08-18","2"
"2004-04-27","Nov 04              ","212","55","484","2004-11-01","2004-11-17","3"
"2004-04-28","Jun 04              ","192.7","354","1487","2004-06-01","2004-06-16","1"
"2004-04-28","Aug 04              ","202.6","163","817","2004-08-01","2004-08-18","2"
"2004-04-28","Nov 04              ","212.6","170","574","2004-11-01","2004-11-17","3"
"2004-04-29","Jun 04              ","196.4","865","1707","2004-06-01","2004-06-16","1"
"2004-04-29","Aug 04              ","206.8","117","921","2004-08-01","2004-08-18","2"
"2004-04-29","Nov 04              ","213.8","193","701","2004-11-01","2004-11-17","3"
"2004-04-30","Jun 04              ","198.5","43","1699","2004-06-01","2004-06-16","1"
"2004-04-30","Aug 04              ","209.3","102","1012","2004-08-01","2004-08-18","2"
"2004-04-30","Nov 04              ","214.2","108","720","2004-11-01","2004-11-17","3"
"2004-05-03","Jun 04              ","192.7","34","1710","2004-06-01","2004-06-16","1"
"2004-05-03","Aug 04              ","206.1","11","1022","2004-08-01","2004-08-18","2"
"2004-05-03","Nov 04              ","211.3","11","731","2004-11-01","2004-11-17","3"
"2004-05-04","Jun 04              ","192","67","1759","2004-06-01","2004-06-16","1"
"2004-05-04","Aug 04              ","204.5","36","1020","2004-08-01","2004-08-18","2"
"2004-05-04","Nov 04              ","211.3","9","731","2004-11-01","2004-11-17","3"
"2004-05-05","Jun 04              ","187.9","116","1837","2004-06-01","2004-06-16","1"
"2004-05-05","Aug 04              ","202.6","40","1022","2004-08-01","2004-08-18","2"
"2004-05-05","Nov 04              ","209.5","123","823","2004-11-01","2004-11-17","3"
"2004-05-06","Jun 04              ","194.1","219","1888","2004-06-01","2004-06-16","1"
"2004-05-06","Aug 04              ","206.8","207","1027","2004-08-01","2004-08-18","2"
"2004-05-06","Nov 04              ","212.3","21","830","2004-11-01","2004-11-17","3"
"2004-05-07","Jun 04              ","198.7","141","1868","2004-06-01","2004-06-16","1"
"2004-05-07","Aug 04              ","211.9","93","1045","2004-08-01","2004-08-18","2"
"2004-05-07","Nov 04              ","213.9","161","928","2004-11-01","2004-11-17","3"
"2004-05-10","Jun 04              ","204.3","447","1857","2004-06-01","2004-06-16","1"
"2004-05-10","Aug 04              ","216.2","167","1176","2004-08-01","2004-08-18","2"
"2004-05-10","Nov 04              ","217.1","38","965","2004-11-01","2004-11-17","3"
"2004-05-11","Jun 04              ","199.7","96","1843","2004-06-01","2004-06-16","1"
"2004-05-11","Aug 04              ","210.6","25","1072","2004-08-01","2004-08-18","2"
"2004-05-11","Nov 04              ","214.5","29","964","2004-11-01","2004-11-17","3"
"2004-05-12","Jun 04              ","196.1","175","1491","2004-06-01","2004-06-16","1"
"2004-05-12","Aug 04              ","209.8","29","1072","2004-08-01","2004-08-18","2"
"2004-05-12","Nov 04              ","212.2","12","970","2004-11-01","2004-11-17","3"
"2004-05-13","Jun 04              ","195.8","122","1551","2004-06-01","2004-06-16","1"
"2004-05-13","Aug 04              ","204.3","153","1098","2004-08-01","2004-08-18","2"
"2004-05-13","Nov 04              ","211.2","3","968","2004-11-01","2004-11-17","3"
"2004-05-14","Jun 04              ","196.7","37","1580","2004-06-01","2004-06-16","1"
"2004-05-14","Aug 04              ","205.6","3","1103","2004-08-01","2004-08-18","2"
"2004-05-14","Nov 04              ","211.5","0","968","2004-11-01","2004-11-17","3"
"2004-05-17","Jun 04              ","202.1","119","1631","2004-06-01","2004-06-16","1"
"2004-05-17","Aug 04              ","210.5","184","983","2004-08-01","2004-08-18","2"
"2004-05-17","Nov 04              ","212.9","15","959","2004-11-01","2004-11-17","3"
"2004-05-18","Jun 04              ","200.7","42","1676","2004-06-01","2004-06-16","1"
"2004-05-18","Aug 04              ","210.4","47","993","2004-08-01","2004-08-18","2"
"2004-05-18","Nov 04              ","212.5","1","957","2004-11-01","2004-11-17","3"
"2004-05-19","Jun 04              ","191.7","399","1868","2004-06-01","2004-06-16","1"
"2004-05-19","Aug 04              ","207","63","1004","2004-08-01","2004-08-18","2"
"2004-05-19","Nov 04              ","211.5","7","966","2004-11-01","2004-11-17","3"
"2004-05-20","Jun 04              ","193.4","84","1819","2004-06-01","2004-06-16","1"
"2004-05-20","Aug 04              ","206.7","10","999","2004-08-01","2004-08-18","2"
"2004-05-20","Nov 04              ","210.8","2","968","2004-11-01","2004-11-17","3"
"2004-05-21","Jun 04              ","191.7","84","1875","2004-06-01","2004-06-16","1"
"2004-05-21","Jul 04              ","0","0","0","2004-07-01","2004-07-21","2"
"2004-05-21","Aug 04              ","208.6","135","979","2004-08-01","2004-08-18","3"
"2004-05-24","Jun 04              ","187.7","817","1241","2004-06-01","2004-06-16","1"
"2004-05-24","Jul 04              ","190.4","765","765","2004-07-01","2004-07-21","2"
"2004-05-24","Aug 04              ","205.3","12","980","2004-08-01","2004-08-18","3"
"2004-05-25","Jun 04              ","175","398","1262","2004-06-01","2004-06-16","1"
"2004-05-25","Jul 04              ","180","265","1015","2004-07-01","2004-07-21","2"
"2004-05-25","Aug 04              ","198","54","1012","2004-08-01","2004-08-18","3"
"2004-05-26","Jun 04              ","176.1","246","1423","2004-06-01","2004-06-16","1"
"2004-05-26","Jul 04              ","180.9","2","1017","2004-07-01","2004-07-21","2"
"2004-05-26","Aug 04              ","198.6","7","1017","2004-08-01","2004-08-18","3"
"2004-05-27","Jun 04              ","173.5","324","1574","2004-06-01","2004-06-16","1"
"2004-05-27","Jul 04              ","179","18","1035","2004-07-01","2004-07-21","2"
"2004-05-27","Aug 04              ","197.3","56","1014","2004-08-01","2004-08-18","3"
"2004-05-28","Jun 04              ","175.8","42","1609","2004-06-01","2004-06-16","1"
"2004-05-28","Jul 04              ","180.6","45","1080","2004-07-01","2004-07-21","2"
"2004-05-28","Aug 04              ","196.8","10","1014","2004-08-01","2004-08-18","3"
"2004-06-01","Jun 04              ","176","64","1671","2004-06-01","2004-06-16","1"
"2004-06-01","Jul 04              ","181.6","21","1100","2004-07-01","2004-07-21","2"
"2004-06-01","Aug 04              ","197.4","7","1019","2004-08-01","2004-08-18","3"
"2004-06-02","Jun 04              ","176.5","110","1776","2004-06-01","2004-06-16","1"
"2004-06-02","Jul 04              ","181","18","1116","2004-07-01","2004-07-21","2"
"2004-06-02","Aug 04              ","195.9","155","873","2004-08-01","2004-08-18","3"
"2004-06-03","Jun 04              ","176","289","1763","2004-06-01","2004-06-16","1"
"2004-06-03","Jul 04              ","183.3","0","1116","2004-07-01","2004-07-21","2"
"2004-06-03","Aug 04              ","199.2","0","873","2004-08-01","2004-08-18","3"
"2004-06-04","Jun 04              ","172.8","152","1822","2004-06-01","2004-06-16","1"
"2004-06-04","Jul 04              ","185.1","181","1287","2004-07-01","2004-07-21","2"
"2004-06-04","Aug 04              ","199.9","270","886","2004-08-01","2004-08-18","3"
"2004-06-07","Jun 04              ","165.8","339","2143","2004-06-01","2004-06-16","1"
"2004-06-07","Jul 04              ","180.7","4","1289","2004-07-01","2004-07-21","2"
"2004-06-07","Aug 04              ","195.5","1","886","2004-08-01","2004-08-18","3"
"2004-06-08","Jun 04              ","161.8","462","2452","2004-06-01","2004-06-16","1"
"2004-06-08","Jul 04              ","177.3","145","1431","2004-07-01","2004-07-21","2"
"2004-06-08","Aug 04              ","194.2","0","886","2004-08-01","2004-08-18","3"
"2004-06-09","Jun 04              ","162","133","2495","2004-06-01","2004-06-16","1"
